"";"ano_cod";"ano_desc";"regiao_cod";"regiao_desc";"cultura_cod";"cultura_desc";"cultura";"Área colhida";"Área destinada à colheita";"Área plantada";"Quantidade produzida";"Rendimento médio da produção";"Valor da produção"
"53";1990;1990;1;"Norte";2740;"Noz (fruto seco)";"permanente";NA;NA;NA;NA;NA;NA
"54";1990;1990;1;"Norte";2741;"Pera";"permanente";NA;NA;NA;NA;NA;NA
"55";1990;1990;1;"Norte";2742;"Pêssego";"permanente";NA;NA;NA;NA;NA;NA
"56";1990;1990;1;"Norte";2743;"Pimenta-do-reino";"permanente";30978;32060;NA;71472;2307;4856360
"57";1990;1990;1;"Norte";2744;"Sisal ou agave (fibra)";"permanente";NA;NA;NA;NA;NA;NA
"58";1990;1990;1;"Norte";2745;"Tangerina";"permanente";466;477;NA;89406;191858;451185
"59";1990;1990;1;"Norte";2746;"Tungue (fruto seco)";"permanente";NA;NA;NA;NA;NA;NA
"60";1990;1990;1;"Norte";2747;"Urucum (semente)";"permanente";2168;2209;NA;1956;902;126175
"61";1990;1990;1;"Norte";2748;"Uva";"permanente";NA;NA;NA;NA;NA;NA
"62";1990;1990;1;"Norte";31619;"Café (em grão) Arábica";"permanente";NA;NA;NA;NA;NA;NA
"63";1990;1990;1;"Norte";31620;"Café (em grão) Canephora";"permanente";NA;NA;NA;NA;NA;NA
"64";1990;1990;1;"Norte";90001;"Palmito";"permanente";NA;NA;NA;NA;NA;NA
"65";1990;1990;1;"Norte";109179;"Girassol (em grão)";"temporária";NA;NA;NA;NA;NA;NA
"66";1990;1990;1;"Norte";109180;"Triticale (em grão)";"temporária";NA;NA;NA;NA;NA;NA
"67";1990;1990;2;"Nordeste";2688;"Abacaxi";"temporária";16477;NA;20018;426988;25914;9436800
"68";1990;1990;2;"Nordeste";2689;"Algodão herbáceo (em caroço)";"temporária";330152;NA;453890;151324;458;4109282
"69";1990;1990;2;"Nordeste";2690;"Alho";"temporária";1302;NA;1307;4509;3463;664583
"70";1990;1990;2;"Nordeste";2691;"Amendoim (em casca)";"temporária";5690;NA;5960;5679;998;241668
"71";1990;1990;2;"Nordeste";2692;"Arroz (em casca)";"temporária";1050865;NA;1090053;855288;813;15487009
"72";1990;1990;2;"Nordeste";2693;"Aveia (em grão)";"temporária";65;NA;65;256;3938;3915
"73";1990;1990;2;"Nordeste";2694;"Batata-doce";"temporária";25025;NA;26487;204687;8179;2629276
"74";1990;1990;2;"Nordeste";2695;"Batata-inglesa";"temporária";1516;NA;1516;14352;9467;352823
"75";1990;1990;2;"Nordeste";2696;"Cana-de-açúcar";"temporária";1476795;NA;1493936;71689378;48543;94242478
"76";1990;1990;2;"Nordeste";2697;"Cebola";"temporária";7984;NA;7987;104077;13035;2913914
"77";1990;1990;2;"Nordeste";2698;"Centeio (em grão)";"temporária";NA;NA;NA;NA;NA;NA
"78";1990;1990;2;"Nordeste";2699;"Cevada (em grão)";"temporária";NA;NA;NA;NA;NA;NA
"79";1990;1990;2;"Nordeste";2700;"Ervilha (em grão)";"temporária";NA;NA;NA;NA;NA;NA
"80";1990;1990;2;"Nordeste";2701;"Fava (em grão)";"temporária";79895;NA;88694;17473;218;735243
"81";1990;1990;2;"Nordeste";2702;"Feijão (em grão)";"temporária";1995039;NA;2471346;580037;290;28661690
"82";1990;1990;2;"Nordeste";2703;"Fumo (em folha)";"temporária";46855;NA;47617;45124;963;9956453
"83";1990;1990;2;"Nordeste";2704;"Juta (fibra)";"temporária";NA;NA;NA;NA;NA;NA
